Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
Cắt lỗ 800 triệu căn hộ góc 2 phòng ngủ cộng 1 phòng plus origami có nội thất giá chỉ 3tỷ2,"3,2 tỷ",70 m²,3,2,"Quận 9, Hồ Chí Minh"," Đường Phước Thiện,  Phường Long Bình,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,414,1.6733296695092115,1.1638557778393117,1.5122363127537346,1.7018920440815228,1.9558045877698915,0.0
"Nhà đường 27 khu Tên Lửa - Bình Tân, cạnh nhà có 2 công viên lớn - diện tích: 4mx20m xây 3,5 lầu","9,6 tỷ",80 m²,4,5,"Bình Tân, Hồ Chí Minh","Đường 27, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",10.7504813,106.6128383,54,1.1931448564822587,0.7981329903057903,1.9821832449823011,1.046369931734643,0.0,0.0
"Bán nhà 65 Mậu Thân , TP Phan Thiết, sát siêu thị Coop Mart 88m2 = 5,8 tỷ . Cách Biển 1km","5,8 tỷ",88 m²,1,1,"Phan Thiết, Bình Thuận","65 Đường Mậu Thân, Phường Bình Hưng, Phan Thiết, Bình Thuận",10.9284228,108.1054967,38,1.1324718753958134,0.9392128425138613,1.55519970708069,1.0254967115488447,0.0,0.0
Nhà bán 1 lầu ngay chợ 640tr bao sang tên,640 triệu,20 m²,2,1,"Quận 12, Hồ Chí Minh","Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",10.86530336,106.6746732,16,1.8086889790653968,1.9622793021096232,1.7474886309911821,1.9003716106049815,0.0,0.0
"Cắt lỗ căn 1PN + 1 phân khu The Beverly Solari giá chỉ 2,350tỷ hỗ trợ vay ngân hàng 60% - 70%","2,35 tỷ","43,09 m²",1,1,"Quận 9, Hồ Chí Minh"," Phường Long Bình,  Quận 9,  Hồ Chí Minh",10.7589554,106.6730492,414,1.6733296695092115,1.1638557778393117,1.5122363127537346,1.7018920440815228,1.9558045877698915,0.0
"HOT! BÁN CĂN SIÊU PHẨM GIÁ CỰC TỐT CHỈ 3TỶ250 (TL)/51.7m2 - NGAY NGUYỄN CÔNG HOAN, P7, PHÚ NHUẬN","3,25 tỷ",52 m²,4,3,"Phú Nhuận, Hồ Chí Minh","Nguyễn Công Hoan, Phường 7, Phú Nhuận",10.79847715,106.6904929,405,1.6592194198652965,1.6287459244723086,1.662561070121533,1.654554846406448,1.9014380686883208,0.0
"Giảm 300 triệu bán gấp nhà 2 mặt tiền đường Sương Nguyệt Ánh, 4x17, hoàn thiện mới 100% có nội thât","1,89 tỷ",100 m²,2,2,"Rạch Giá, Kiên Giang","Đường Sương Nguyệt Ánh, Phường Vĩnh Lạc, Rạch Giá, Kiên Giang",9.9931437,105.0931342,12,1.9366505773047684,0.0,0.0,2.063983999520131,0.5359829329357793,0.0
"Chính chủ bán nhà phố Trung Kính, Cầu Giấy","8,2 tỷ",45 m²,9,9,"Cầu Giấy, Hà Nội","Ngõ 43, Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",21.01665806,105.7939798,198,1.672284485098851,2.0115181097961714,1.7972808531444673,1.572294333415462,1.9843607676346953,0.0
Hạ Giá Cần Bán Gấp Nhà Mặt Tiền Đường Lũy Bán Bích Q.TP DT 18x30m trệt 3 lầu HĐT 220tr giá 60 tỷ,60 tỷ,540 m²,20,20,"Tân Phú, Hồ Chí Minh","Đường Lũy Bán Bích, Phường Tân Thành, Tân Phú, Hồ Chí Minh",10.78945323,106.6381594,71,1.7058063407329485,1.7107400353479736,1.875313905796757,1.5971549517399726,1.3896762787836527,0.0
"Bán nhà tiện CHDV 12x23m (240m2) hẻm 8m Xô Viết Nghệ Tĩnh, GPXD hầm trệt 5L sân thượng, giá 20.9 tỷ","20,9 tỷ",240 m²,3,4,"Bình Thạnh, Hồ Chí Minh","Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh",10.80633469,106.7115558,162,1.8983560598303884,2.484637089072062,1.8285791295359695,1.9009714256590948,1.8587634915972946,0.0
