Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Định Vị,Latitude,Longitude,Total_Amenities,Average_Distance_All,Average_Distance_Hospital,Average_Distance_School,Average_Distance_Restaurant,Average_Distance_Attraction,Average_Distance_Public_Transport
"Bán Nhà Mặt Phố Quan Hoa, 59 tỷ, 110m2, 12PN, 8WC, 9Tầng, Mặt Tiền 6m",59 tỷ,110 m²,12,8,"Cầu Giấy, Hà Nội","Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",21.03526306,105.7934242,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán liền kề Trần Phú, ô tô tránh, vỉa hè, kinh doanh văn phòng, 100m","6,2 triệu",100 m²,6,6,"Từ Sơn, Bắc Ninh","Đường Trần Phú, Phường Đình Bảng, Từ Sơn, Bắc Ninh",21.11173943,105.9480824,0,0.0,0.0,0.0,0.0,0.0,0.0
"Tổng hợp quỹ căn mới nhất tại Starlake tháng 3/2025 căn góc 2 - 3 - 4PN đẹp, giá 12 tỷ/căn full đồ",12 tỷ,91 m²,2,2,"Tây Hồ, Hà Nội"," Phường Xuân La,  Tây Hồ,  Hà Nội",21.0632614,105.8070213,0,0.0,0.0,0.0,0.0,0.0,0.0
Liên Khu 4-5 nhà mới 5 tầng - 85m2 ngang 5m - hẻm 7m thông - ngộp bán 6 tỷ hơn,"6,98 tỷ",85 m²,4,4,"Bình Tân, Hồ Chí Minh","Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",10.801923,106.5913656,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán BT sân vườn, Lưu Hữu Phước, Mỹ Đình 2, Nam Từ Liêm DT 200m2x4T MT 10m vỉa hè ô tô tránh dừng đỗ","47,5 tỷ",200 m²,5,5,"Nam Từ Liêm, Hà Nội","Đường Lưu Hữu Phước, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",21.0282405,105.7746453,0,0.0,0.0,0.0,0.0,0.0,0.0
Biệt thự đơn lập và song lập tại Xanh Villas 2 - Đón đầu tuyến đường Metro số 5 Văn Cao - Hòa Lạc,"14,5 tỷ",260 m²,4,3,"Thạch Thất, Hà Nội","Hà Nội Tropical Garden, Đường ĐCT08(Hòa Lạc), Xã Yên Bình, Thạch Thất, Hà Nội",20.9891349,105.4576923,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chung cư 25 Lê Văn Lương, Bán căn hộ 3PN, 3WC, 144m2, chỉ từ 15. X tỷ. LH: 0963 805 ***",Giá thỏa thuận,144 m²,3,3,"Thanh Xuân, Hà Nội","The Diamond Residence, 25, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",21.00694099,105.807155,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán gấp nhà khu VIP Lữ Gia P.15 Quận 11.,"14,5 tỷ","198,7 m²",3,3,"Quận 11, Hồ Chí Minh","Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh",10.7739564,106.6552538,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán nhà 4 tầng sổ hồng chính chủ,"4,6 tỷ","53,8 m²",3,3,"Thủ Đức, Hồ Chí Minh","Đường 12, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",10.80935845,106.8353271,0,0.0,0.0,0.0,0.0,0.0,0.0
"Cho con học Thụy Sỹ bán 1 căn view đẹp 68m2, 2PN + 1, 2WC 3,6tỷ sổ hồng, ở ngay xem nhà 0909 719 ***","3,6 tỷ",68 m²,3,2,"Bình Tân, Hồ Chí Minh"," Đường An Dương Vương,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.7223892,106.6197111,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán gấp nhà Nguyễn Bỉnh Khiêm ngay Gem Center - DT 12x15m - trệt 3 lầu - cho thuê 105tr/th - 39 tỷ,39 tỷ,170 m²,11,11,"Quận 1, Hồ Chí Minh","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",10.791498,106.6999442,0,0.0,0.0,0.0,0.0,0.0,0.0
"Ra nhanh CHCC Gold View Q4 căn đẹp view thoáng mát 2PN2WC 81m Giá THẬT 4,8 tỷ LH: 0944 904 *** Lý","4,8 tỷ",81 m²,2,2,"Quận 4, Hồ Chí Minh"," Đường Bến Vân Đồn,  Phường 1,  Quận 4,  Hồ Chí Minh",10.75714744,106.6917033,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà riêng tại đường hàng cây sà cừ Yên Nghĩa 50m2, giá thỏa thuận, tầng hầm, thang máy 8PN, 8WC",Giá thỏa thuận,50 m²,8,8,"Hà Đông, Hà Nội","Đường Nghĩa Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",20.9508404,105.7399655,0,0.0,0.0,0.0,0.0,0.0,0.0
Vốn nhỉnh 1 tỷ có ngay nhà Vin- ngân hàng hỗ trợ hơn 2 tỷ Chiết khấu như TT sớm LH 0396 369 ***,"3,15 tỷ",75 m²,5,5,"Móng Cái, Quảng Ninh","Vinhomes Golden Avenue Móng Cái, Phường Hải Hòa, Móng Cái, Quảng Ninh",21.51956125,108.019765,0,0.0,0.0,0.0,0.0,0.0,0.0
"Sở hữu ngay căn hộ dòng thu 1,4 tỷ/ năm tại Trâu Quỳ","31,3 tỷ",210 m²,58,58,"Gia Lâm, Hà Nội","Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",21.00549621,105.9376297,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà 4 tầng, hẻm 5m, Bình Lợi, Phường 13, Bình Thạnh, 70m2, nhỉnh 8 tỷ.","8,9 tỷ",70 m²,5,3,"Bình Thạnh, Hồ Chí Minh","Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.8266462,106.7047977,0,0.0,0.0,0.0,0.0,0.0,0.0
CDT MỞ BÁN QUỸ CĂN PENHOUSE DUPLEX DT 160M-190M-230M-270M-350M VIEW HỒ TÂY,36 tỷ,200 m²,4,4,"Tây Hồ, Hà Nội","Heritage West Lake, Lạc Long Quân, Phú Thượng, Tây Hồ, Hà Nội",21.07332352,105.8127116,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán căn góc 2 mặt tiền đường lớn tổng 540m2 đất giá 95 tỷ,95 tỷ,540 m²,12,12,"Tân Phú, Hồ Chí Minh","Đường Vườn Lài, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.78711836,106.6291875,0,0.0,0.0,0.0,0.0,0.0,0.0
"Sống Đẳng Cấp Tại Diamond Celadon City - 20% Nhận Nhà, 0% Lãi Suất - Gọi NGAY 0936 459 ***.","6,45 tỷ",86 m²,2,2,"Tân Phú, Hồ Chí Minh","Diamond Centery, N1, Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.8040522,106.6206836,0,0.0,0.0,0.0,0.0,0.0,0.0
Nhà Lô Góc Sát Phố Kim Giang Đại Kim Hoàng Mai 51m 10Tỷ 4Tầng Mt6m Ở Sướng Đầu Tư Tốt,10 tỷ,51 m²,4,4,"Hoàng Mai, Hà Nội","Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",20.97719491,105.8242672,0,0.0,0.0,0.0,0.0,0.0,0.0
"Tổng hợp những căn nhà đáng mua nhất tại An Đồng, An Dương, Hải Phòng 3 tầng xây mới giá hơn 2 tỷ",Giá thỏa thuận,60 m²,3,3,"An Dương, Hải Phòng","Đường Máng Nước, Xã An Đồng, An Dương, Hải Phòng",21.1251133,105.63764,0,0.0,0.0,0.0,0.0,0.0,0.0
"Em bán căn 186m gồm 4PN3WC full nội thất nhập khẩu, tầng trung view thoáng có sổ đỏ có slot oto vip","11,2 tỷ",186 m²,4,3,"Nam Từ Liêm, Hà Nội","Dolphin Plaza, 28, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",21.03066864,105.7763755,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chủ đầu tư Nam Long bán nhà phố vườn, shophouse dự án Izumi City giá 6.080 tỷ, 0909 425 ***","6,08 tỷ",111 m²,3,3,"Biên Hòa, Đồng Nai"," Đường Long Hưng - Phước Tân,  Xã Long Hưng,  Biên Hòa,  Đồng Nai",10.86373175,106.8753611,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn hộ trệt Ehome Southgate 88m2, có thể kinh doanh mua bán 3.5 tỷ",Giá thỏa thuận,51 m²,1,1,"Bến Lức, Long An"," Đường ĐT 830,  Xã An Thạnh,  Bến Lức,  Long An",10.77349696,106.4393333,0,0.0,0.0,0.0,0.0,0.0,0.0
30.5 tỷ mặt tiền Cityland Nguyễn Văn Lượng (5x20m) 1 trệt - 4 lầu cho thuê 60tr/tháng,"30,5 tỷ",100 m²,8,6,"Gò Vấp, Hồ Chí Minh"," Đường Nguyễn Văn Lượng,  Phường 10,  Gò Vấp,  Hồ Chí Minh",10.83857479,106.6693397,0,0.0,0.0,0.0,0.0,0.0,0.0
"RẺ RẺ, Cần bán căn 2pn+1,2vs 64m tại chung cư VinSmart City Tây Mỗ Giá 3,9x tỷ","3,9 tỷ",64 m²,2,2,"Nam Từ Liêm, Hà Nội","The Sapphire-Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội",21.0096762,105.7445572,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ cần bán căn 4PN, 2WC, 142m, căn góc, toà mới N01T6 Ngoại Giao Đoàn, 16 tỷ, 0393 755 ***",16 tỷ,142 m²,4,3,"Bắc Từ Liêm, Hà Nội","Khu Ngoại Giao Đoàn, Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",21.07296926,105.7882749,0,0.0,0.0,0.0,0.0,0.0,0.0
Nhà đẹp Ngọc Lâm - Nguyễn Văn Cừ - Long Biên 45m2 6 tầng thang máy gara ô tô,"8,9 tỷ",45 m²,4,4,"Long Biên, Hà Nội","Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",21.04169285,105.8698938,0,0.0,0.0,0.0,0.0,0.0,0.0
"Cơ Hội Vàng: Giỏ Hàng Cuối Celadon City - Shophouse Thuê Lại 5 Năm, Skyline, Căn hộ - Chỉ 200 căn.","6,45 tỷ",86 m²,2,2,"Tân Phú, Hồ Chí Minh","Diamond Centery, N1, Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.8040522,106.6206836,0,0.0,0.0,0.0,0.0,0.0,0.0
The Privia - rổ hàng bán căn hộ 1PN - 2PN - 3PN giá nét bán nhanh,"3,97 tỷ",69 m²,2,2,"Bình Tân, Hồ Chí Minh"," Đường An Dương Vương,  Phường An Lạc,  Bình Tân,  Hồ Chí Minh",10.7223892,106.6197111,0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhà nằm ngay vị trí đẹp Sư Vạn Hạnh P12 Q10 giá 3tỷ050tr DT 42.9m2, đang cho thuê 15tr/tháng","3,05 tỷ","42,9 m²",4,5,"Quận 10, Hồ Chí Minh","Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.77089035,106.6700976,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán biệt thự đơn lập, lô góc 3 mặt thoáng, tại Đường Sa Đôi, Đại Mỗ, diện tích 206m2, giá 63,5 tỷ","63,5 tỷ",206 m²,4,6,"Nam Từ Liêm, Hà Nội","Đường Sa Đôi, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",20.9932717,105.7630172,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán căn hộ chung cư Quận Gò Vấp giá rẻ 1 tỷ 680 - full nội thất chiết khấu lên đến 5% + 3 chỉ vàng,"1,68 tỷ",44 m²,2,1,"Gò Vấp, Hồ Chí Minh","Đường Trần Bình Trọng, Phường 1, Gò Vấp, Hồ Chí Minh",10.81587072,106.6854725,0,0.0,0.0,0.0,0.0,0.0,0.0
"Siêu Hiếm Triều Khúc Thanh Trì 270m2 mặt tiền 10m, vỉa hè ô tô, giá chỉ 60 tỷ, xây tòa nhà VIP",60 tỷ,270 m²,2,2,"Thanh Trì, Hà Nội","Xã Tân Triều, Thanh Trì, Hà Nội",20.9770834,105.8042144,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ cần bán căn hộ cao cấp 3PN, 2WC tại The Prince Residence, giá 8.5 tỷ, 110m2, Q Phú Nhuận","8,5 tỷ",110 m²,3,2,"Phú Nhuận, Hồ Chí Minh"," Đường Nguyễn Văn Trỗi,  Phường 12,  Phú Nhuận,  Hồ Chí Minh",10.8030061,106.6778362,0,0.0,0.0,0.0,0.0,0.0,0.0
"Hoàng 3333 giá thật, nói không với căn ảo mất thời gian. Căn 2N từ 4 tỷ 550, căn 3N từ 5 tỷ 9, SĐ","5,9 tỷ",95 m²,3,2,"Thanh Trì, Hà Nội","Eco Green City, 286, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội",20.9831813,105.8087009,0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhà HXH đường Linh Đông 149m2 3 tầng 12,6 tỷ","12,6 tỷ",149 m²,3,3,"Thủ Đức, Hồ Chí Minh","Đường Linh Đông, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",10.85758935,106.7447159,0,0.0,0.0,0.0,0.0,0.0,0.0
"XANH ISLAND CÁT BÀ 34m2 view vịnh Lan Hạ, full nội thất, đóng trước 650tr vay miễn lãi 30th","1,8 tỷ",34 m²,1,1,"Cát Hải, Hải Phòng","Xanh Island Cát Bà, Đường 1/4, Thị trấn Cát Bà, Cát Hải, Hải Phòng",20.7321058,107.0483333,0,0.0,0.0,0.0,0.0,0.0,0.0
"Giá thật! Cập nhật giỏ hàng những căn rẻ nhất Sài Gòn Intela. 2PN chỉ từ 1,450 tỷ!","1,45 tỷ",50 m²,2,2,"Bình Chánh, Hồ Chí Minh"," Đường Nguyễn Văn Linh,  Xã Phong Phú,  Bình Chánh,  Hồ Chí Minh",10.6968222,106.6546923,0,0.0,0.0,0.0,0.0,0.0,0.0
Tổng kho dự án Dragon Castle - 99 căn chuyển nhượng giá tốt nhất 2PN giá 1.45 tỷ,"1,45 tỷ",57 m²,2,2,"Hạ Long, Quảng Ninh"," Đường Cái Lân,  Phường Bãi Cháy,  Hạ Long,  Quảng Ninh",20.96677757,107.0495531,0,0.0,0.0,0.0,0.0,0.0,0.0
"Độc quyền rổ hàng Melosa Garden căn 5x17m thô 7,95 tỷ, 6x18m nội thất 9,5 tỷ Biệt thự 8x18m 12,8 tỷ","7,95 tỷ",85 m²,4,4,"Quận 9, Hồ Chí Minh"," Đường Vành Đai Trong,  Phường Phú Hữu,  Quận 9,  Hồ Chí Minh",10.7608529,106.7012374,0,0.0,0.0,0.0,0.0,0.0,0.0
CÒN ĐÚNG DUY NHẤT MỘT CĂN 3PN ( 89M2) DÒNG LIMITED VIEW SÔNG. GIÁ 7 TỶ CÓ VAT. GỌI EM 0901 353 ***,7 tỷ,89 m²,3,2,"Quận 2, Hồ Chí Minh","Victoria Village, Đồng Văn Cống, Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.77073175,106.7702559,0,0.0,0.0,0.0,0.0,0.0,0.0
BÁN CĂN HỘ CAO CẤP 3 PHÒNG NGỦ TẠI Q2 FRASER THẢO ĐIỀN,"12,2 tỷ",100 m²,3,2,"Quận 2, Hồ Chí Minh","Q2 Thảo Điền, Võ Trường Toản, Thảo Điền, Quận 2, Hồ Chí Minh",10.8170764,106.7315493,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán căn hộ Sunshine Sky City suất SPA 7,4 tỷ, 132m2, 4PN, 3WC liền kề Phú Mỹ Hưng LH 0357 313 ***","7,4 tỷ",132 m²,4,3,"Quận 7, Hồ Chí Minh","Sunshine Sky City , Phú Thuận, Tân Phú, Quận 7, Hồ Chí Minh",10.7313572,106.7317098,0,0.0,0.0,0.0,0.0,0.0,0.0
"Cập nhật Quỹ Căn Chuyển Nhượng dự án Heritage Westlake Lạc Long Quân, Tây Hồ",15 tỷ,150 m²,3,3,"Tây Hồ, Hà Nội","Endless Skyline West Lake, Võ Chí Công, Phú Thượng, Tây Hồ, Hà Nội",21.07529443,105.8111542,0,0.0,0.0,0.0,0.0,0.0,0.0
Kẹt tiền bán lỗ căn 57m2 2pn 2wc giá chỉ 1ty390 bao thuế phí,"1,39 tỷ",57 m²,2,2,"Quận 8, Hồ Chí Minh","Dream Home Riverside, Nguyễn Văn Linh, 7, Quận 8, Hồ Chí Minh",10.6970203,106.6220128,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán căn hộ chung cư Imperia Garden 100m2, góc 3 phòng ngủ tầng trung đồ cơ bản giá tốt",Giá thỏa thuận,100 m²,3,2,"Thanh Xuân, Hà Nội","Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",20.9944171,105.8171316,0,0.0,0.0,0.0,0.0,0.0,0.0
"Em bán quỹ căn 2PN - 3PN mới nhất đầy đủ nhất tháng 3/2025, cam kết chính chủ, sổ đỏ lâu dài","7,7 tỷ","88,1 m²",2,2,"Cầu Giấy, Hà Nội","Tràng An Complex, Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Hà Nội",21.04202494,105.8025152,0,0.0,0.0,0.0,0.0,0.0,0.0
"Thanh toán chỉ 10% kí HĐMB với lịch thanh toán kéo dài, nhận nhà có thể cho thuê ngay","2,6 tỷ",61 m²,2,1,"Thủ Dầu Một, Bình Dương","Midori Park The Glory, Đường Bùi Thị Xuân, Phường Hòa Phú, Thủ Dầu Một, Bình Dương",11.07005926,106.6825366,0,0.0,0.0,0.0,0.0,0.0,0.0
Độc quyền 50m2-1Tỷ470 - Bao thuế phí 55m2 - 1Tỷ580 Trả trước 600tr - Nhận nhà ngay. Hỗ trợ vay 70%,"1,47 tỷ",50 m²,2,2,"Bình Chánh, Hồ Chí Minh"," Đường Nguyễn Văn Linh,  Xã Phong Phú,  Bình Chánh,  Hồ Chí Minh.",10.6968222,106.6546923,0,0.0,0.0,0.0,0.0,0.0,0.0
"CHÍNH CHỦ GỬI BÁN CĂN HỘ 3PN (93 - 96m2), 2WC, FULL NỘI THẤT, SẴN SỔ. LH 0986 936 *** XEM NHÀ NGAY",6 tỷ,72 m²,2,2,"Nam Từ Liêm, Hà Nội","Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội",21.0065875,105.7678878,0,0.0,0.0,0.0,0.0,0.0,0.0
"Cần bán gấp Biệt thự Thanh Liên tại Vườn Vua Resort, DT 322,5m2 full nội thất . Hotline: 0936 383 ***",7 tỷ,"322,6 m²",3,3,"Thanh Thủy, Phú Thọ","Vườn Vua Resort & Villas, Đồng Trung, Thanh Thủy, Phú Thọ",21.123781,105.287858,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà riêng, Lê Văn Lương, Nhơn Đức, Nhà Bè, HCM, 7,8 tỷ, 267m2","7,8 tỷ",267 m²,7,7,"Nhà Bè, Hồ Chí Minh","Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",10.6868021,106.6999079,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán CC 2PN, 1WC, D4, Bửu Long, Biên Hòa, 1,2 tỷ, 50m2","1,2 tỷ",50 m²,2,1,"Biên Hòa, Đồng Nai","Đường D4, Phường Bửu Long, Biên Hòa, Đồng Nai",10.95910753,106.8045247,0,0.0,0.0,0.0,0.0,0.0,0.0
Chung cư 275 Nguyễn Trãi tòa A Golden Land Hoàng Huy,"6,45 tỷ","95,1 m²",2,2,"Thanh Xuân, Hà Nội","Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",20.99311456,105.8052676,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chủ nhà gửi bán nhanh căn 3 ngủ diện tích từ 95 -100m2 chung cư coma 6 tây mỗ, Nam từ liêm ,HN",Giá thỏa thuận,95 m²,3,2,"Nam Từ Liêm, Hà Nội","Dream Town, đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",21.00302268,105.7501363,0,0.0,0.0,0.0,0.0,0.0,0.0
Chính chủ cần bán gấp căn hộ chung cư cao cấp 4PN nội thất cơ bản tòa N01T8,"12,38 tỷ",136 m²,4,3,"Bắc Từ Liêm, Hà Nội"," Phường Xuân Tảo,  Bắc Từ Liêm,  Hà Nội",21.0611692,105.7942037,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chinh chu: Bán căn hộ đặc biệt 163m2, bancong 7met 3PN, 3WC tại Sunrise City Quận 7 giá 9.9 tỷ","9,9 tỷ",163 m²,3,3,"Quận 7, Hồ Chí Minh"," Đường Nguyễn Hữu Thọ,  Phường Tân Hưng,  Quận 7,  Hồ Chí Minh",10.74250976,106.7013355,0,0.0,0.0,0.0,0.0,0.0,0.0
"Quỹ căn ngoại giao (118m2, duplex 145m2) giá tốt nhất siêu hời, quỹ ẩn trực tiếp CĐT, LH 0966 088 ***","9,68 tỷ",118 m²,4,4,"Thanh Xuân, Hà Nội","Viha Complex, số 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",20.9957616,105.8054269,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán căn góc liền kề 90m2, giá tốt",Giá thỏa thuận,90 m²,4,3,"Hoài Đức, Hà Nội"," Xã An Khánh,  Hoài Đức,  Hà Nội",21.005128,105.73304,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán nhà 3PN, 3WC, 100m2 tại Khuê Mỹ,ngay gần Đoàn Khuê+Bùi Tá Hán, Đà Nẵng, giá 6,7 tỷ","6,7 tỷ",100 m²,3,3,"Ngũ Hành Sơn, Đà Nẵng","Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",16.0272634,108.2445037,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán căn góc - 108m2 - 3PN, 2WC, view thoáng full nội thất toà Hà Nội Paragon, giá 6,5 tỷ","6,5 tỷ",108 m²,3,2,"Cầu Giấy, Hà Nội"," Phường Dịch Vọng Hậu,  Cầu Giấy,  Hà Nội",21.0365503,105.7858195,0,0.0,0.0,0.0,0.0,0.0,0.0
Gia đình em bán căn góc 198m2 3PN+1 - 2WC ban công hướng Nam full nội thất Dolphin Plaza giá 10.6tỷ,"10,6 tỷ",198 m²,3,2,"Nam Từ Liêm, Hà Nội","Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",21.03066864,105.7763755,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ bán CH 78m2 - 2PN ban công Đông Nam, view thoáng full nội thất ở Roman Plaza giá 4,6 tỷ","4,6 tỷ",78 m²,2,2,"Nam Từ Liêm, Hà Nội"," Đường Tố Hữu,  Phường Đại Mỗ,  Nam Từ Liêm,  Hà Nội",20.98516554,105.7758725,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ! Bán biệt thự Song lập Swanbay căn góc, vị trí đẹp, sổ hồng cầm tay. LH: 0938 652 ***","22,5 tỷ",323 m²,4,3,"Nhơn Trạch, Đồng Nai","Swan Bay , Đường Quốc Lộ 51, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai",10.7355009,106.8171232,0,0.0,0.0,0.0,0.0,0.0,0.0
"Vốn ban đầu chỉ cần từ 3.9 tỷ/căn shophouse đường 25m, nhà 5 tầng tại Vin 3","10,8 tỷ",75 m²,4,4,"Văn Giang, Hưng Yên"," Xã Nghĩa Trụ,  Văn Giang,  Hưng Yên",20.9298976,105.963275,0,0.0,0.0,0.0,0.0,0.0,0.0
Nhà 1 trệt 1 lầu đường ô tô phường Phú Thọ- Thủ Dầu Một - Giá 1.99tỷ.,"1,99 tỷ","63,3 m²",2,2,"Thủ Dầu Một, Bình Dương","Đường Lê Hồng Phong, Phường Phú Thọ, Thủ Dầu Một, Bình Dương",10.9495025,106.6645388,0,0.0,0.0,0.0,0.0,0.0,0.0
"[Slot cuối cùng] Chỉ 3,x tỷ có căn 2PN view pháo hoa tầng cao, Căn hộ cao cấp biển Mỹ Khê Đà Nẵng","3,67 tỷ","82,5 m²",2,2,"Ngũ Hành Sơn, Đà Nẵng","The Sang Residence, Đường Phạm Kiệt, Phường Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",16.03851388,108.2475484,0,0.0,0.0,0.0,0.0,0.0,0.0
"ĐHG chuyên Opal Boulevard đã 4 năm, bán 2PN 75.4m2, 2,75 tỷ có sổ hồng, công chứng ngay 0931 866 ***","2,75 tỷ","75,4 m²",2,2,"Dĩ An, Bình Dương"," Đường Kha Vạn Cân,  Phường An Bình,  Dĩ An,  Bình Dương",10.86919616,106.7632086,0,0.0,0.0,0.0,0.0,0.0,0.0
"Chính chủ gửi bán CH 97m2 giá 6,2 tỷ (btp) tầng cao, hướng mát sẵn sổ giao dịch ngay cạnh Vinhomes","6,2 tỷ",97 m²,3,2,"Long Biên, Hà Nội","Le Grand Jardin Sài Đồng, Huỳnh Văn Nghệ, Sài Đồng, Long Biên, Hà Nội",21.04065286,105.9088155,0,0.0,0.0,0.0,0.0,0.0,0.0
"Bán quỹ CH rẻ nhất thị trường DT 133-152-164-191_198m2 Dolphin Plaza, Phố Trần Bình LH: 0906 241 ***","7,5 tỷ",152 m²,3,2,"Nam Từ Liêm, Hà Nội"," Phố Trần Bình,  Phường Mỹ Đình 2,  Nam Từ Liêm,  Hà Nội",21.03066864,105.7763755,0,0.0,0.0,0.0,0.0,0.0,0.0
"3,4 tỷ giảm còn 3 tỷ 190. Bán gấp căn 64m2 Võ Văn Tần gần chợ Vườn Chuối. Xây 1 trệt 4 lầu, hẻm 6m.","3,19 tỷ",64 m²,5,5,"Quận 3, Hồ Chí Minh","Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",10.782932,106.6893481,0,0.0,0.0,0.0,0.0,0.0,0.0
"Căn Hộ Eco Xuân: Bán 2PN 68m2 - 1,70 tỷ, 3PN 86m2 - 1.9x tỷ, 1PN 47m2 1,2 tỷ Thuận An - Bình Dương","1,7 tỷ",68 m²,2,2,"Thuận An, Bình Dương"," Đường Quốc Lộ 13,  Phường Lái Thiêu,  Thuận An,  Bình Dương",10.8970914,106.7085812,0,0.0,0.0,0.0,0.0,0.0,0.0
"SIÊU HIẾM! NHÀ ĐẸP PHỐ TRẠM - 5 TẦNG - VỈA HÈ RỘNG 31M2,VỊ TRÍ ĐẮC ĐỊA! Đừng bỏ lỡ","7,66 tỷ",31 m²,3,4,"Long Biên, Hà Nội","Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",21.0209967,105.8862185,0,0.0,0.0,0.0,0.0,0.0,0.0
Bán suất ngoại giao NOXH gần Hồ Linh Đàm giá siêu tốt,"3,04 tỷ",69 m²,2,2,"Hoàng Mai, Hà Nội"," Đường Bằng A,  Phường Hoàng Liệt,  Hoàng Mai,  Hà Nội",20.962423,105.8393925,0,0.0,0.0,0.0,0.0,0.0,0.0
Cần bán lại căn 2PN lớn tầng cao hiếm Lancaster Quận 1 rẻ hơn 20% so với CDT,Giá thỏa thuận,90 m²,2,2,"Quận 1, Hồ Chí Minh"," Đường Nguyễn Trãi,  Phường Nguyễn Cư Trinh,  Quận 1,  Hồ Chí Minh",10.7607239,106.6855219,0,0.0,0.0,0.0,0.0,0.0,0.0
